docname,topic,proportion
blog_content_cleaned.csv:199,005,0.080124
blog_content_cleaned.csv:234,001,0.685852
blog_content_cleaned.csv:234,002,0.165442
blog_content_cleaned.csv:234,000,0.148706
blog_content_cleaned.csv:269,002,1.0
blog_content_cleaned.csv:304,000,0.506217
blog_content_cleaned.csv:304,002,0.493783
blog_content_cleaned.csv:339,006,0.447199
blog_content_cleaned.csv:339,001,0.378694
blog_content_cleaned.csv:339,002,0.150857
blog_content_cleaned.csv:339,000,0.023249
blog_content_cleaned.csv:374,003,1.0
blog_content_cleaned.csv:14,004,0.796208
blog_content_cleaned.csv:14,002,0.203792
blog_content_cleaned.csv:49,000,0.928198
blog_content_cleaned.csv:49,004,0.071802
blog_content_cleaned.csv:84,001,0.953029
blog_content_cleaned.csv:84,002,0.046971
blog_content_cleaned.csv:119,004,0.436811
blog_content_cleaned.csv:119,006,0.356154
blog_content_cleaned.csv:119,003,0.207036
blog_content_cleaned.csv:154,005,0.576046
blog_content_cleaned.csv:154,002,0.318452
blog_content_cleaned.csv:154,001,0.076805
blog_content_cleaned.csv:154,003,0.028697
blog_content_cleaned.csv:189,004,0.603533
blog_content_cleaned.csv:189,002,0.396467
blog_content_cleaned.csv:219,002,0.65531
blog_content_cleaned.csv:219,000,0.34469
blog_content_cleaned.csv:254,005,0.667556
blog_content_cleaned.csv:254,001,0.199316
blog_content_cleaned.csv:254,006,0.133128
blog_content_cleaned.csv:289,002,0.909182
blog_content_cleaned.csv:289,001,0.04781
blog_content_cleaned.csv:289,006,0.032391
blog_content_cleaned.csv:289,005,0.010617
blog_content_cleaned.csv:324,000,0.734764
blog_content_cleaned.csv:324,004,0.204459
blog_content_cleaned.csv:324,005,0.060777
blog_content_cleaned.csv:359,000,0.63407
blog_content_cleaned.csv:359,001,0.259471
blog_content_cleaned.csv:359,006,0.10646
blog_content_cleaned.csv:6,004,0.483797
blog_content_cleaned.csv:6,001,0.297091
blog_content_cleaned.csv:6,003,0.219112
blog_content_cleaned.csv:41,003,0.83202
blog_content_cleaned.csv:41,006,0.16798
blog_content_cleaned.csv:76,000,0.69192
blog_content_cleaned.csv:76,002,0.302838
blog_content_cleaned.csv:76,001,0.005242
blog_content_cleaned.csv:111,002,0.448391
blog_content_cleaned.csv:111,001,0.270879
blog_content_cleaned.csv:111,006,0.268588
blog_content_cleaned.csv:111,000,0.012141
blog_content_cleaned.csv:146,001,0.521399
blog_content_cleaned.csv:146,003,0.186712
blog_content_cleaned.csv:146,006,0.183391
blog_content_cleaned.csv:146,004,0.108498
blog_content_cleaned.csv:181,002,0.926755
blog_content_cleaned.csv:181,004,0.073245
blog_content_cleaned.csv:211,003,0.494513
blog_content_cleaned.csv:211,000,0.264261
blog_content_cleaned.csv:211,002,0.241226
blog_content_cleaned.csv:246,003,0.571863
