Topic Modeling Id - New Index,Item ID,Title/Description,Idioma
37,ITEM-15005,"['pmr:', 'valid', '(/)', 'curs', 'comprend', 'rol', 'actor', 'clav', 'proces', 'valid', 'pmr', 'proyecto.', 'curs', 'pmr:', 'valid', 'quint', 'total', 'curs', 'podras', 'conoc', 'detall', 'report', 'monitore', 'progres', 'pmr', 'sigl', 'ingles.', 'finaliz', 'quint', 'curs', 'capaz', 'comprend', 'proces', 'valid', 'pmr', 'identific', 'actor', 'particip', 'respect', 'responsabilidades.', 'adicional', 'disposicion', 'gui', 'pas', 'pas', 'ayud', 'registr', 'inform', 'progres', 'oper', 'convergencia.']",Español
38,ITEM-15007,"['pmr:', 'clasif', 'desempeñ', '(/)', 'curs', 'comprend', 'signif', 'clasif', 'desempeñ', 'com', 'obtien', 'segun', 'etap', 'encuentr', 'proyecto.', 'curs', 'pmr:', 'clasif', 'desempeñ', 'sext', 'total', 'curs', 'podras', 'conoc', 'detall', 'report', 'monitore', 'progres', 'pmr', 'sigl', 'ingles.', 'finaliz', 'sext', 'curs', 'capaz', 'identific', 'indic', 'monitore', 'interpret', 'clasif', 'desempeñ', 'proyecto.', 'adicional', 'disposicion', 'gui', 'pas', 'pas', 'ayud', 'registr', 'inform', 'progres', 'oper', 'convergencia.']",Ingles
39,ITEM-15009,"['uso', 'condicion', 'especial', 'prest', 'inversion', 'garant', 'soberan', 'explic', 'gui', 'uso', 'condicion', 'especial', 'contrat', 'prest', 'garant', 'soberana.', 'objet', 'gui', 'racionaliz', 'uso', 'condicion', 'especial', 'contrat', 'posibl', 'realiz', 'inclusion', 'condicion', 'especial', 'document', 'adicional', 'permit', 'flexibil', 'edicion', 'futuro.']",Español
40,ITEM-152001,"['construccion', 'capac', 'apoy', 'grup', 'bid', 'incorpor', 'element', 'cambi', 'climat', 's', 'objet', 'tall', 'foment', 'cre', 'capac', 'herramient', 'exist', 'grup', 'bid', '(e.j.', 'scanning', 'climat', 'financ', 'tracking', 'ndc', 'invest)', 'favorec', 'incorpor', 'element', 'cambi', 'climat', 'oper', 'financia.']",Español
41,ITEM-152002,"['tall', 'avanz', 'gestion', 'riesg', 'proyect', 'desarroll', 'part', 'segund', 'nivel', 'plan', 'capacion', '""campeon', 'riesgos""', 'organiz', 'tall', 'har', 'profundiz', 'gestion', 'riesg', 'fundament', 'paci', 'asi', 'va', 'pod', 'constru', 'tem', 'vist', 'prim', 'nivel', 'plan.', 'requisit', 'hab', 'aprob', 'curs', 'gestion', 'riesg', 'proyect', 'desarroll', '(prim', 'nivel).']",Español
42,ITEM-157002,"['tutorial', 'timeinvest', 'timeinvest', 'herramient', 'gestion', 'tiemp', 'ayud', 'organiz', 'hor', 'invert', 'activ', 'maner', 'brind', 'mejor', 'entend', 'estructur', 'cost', 'negocio.', 'tutorial', 'describ', 'pas', 'pas', 'uso', 'herramient', 'maner', 'facil', 'amigable.']",Español
43,ITEM-166001,"['desarroll', 'gerenci', 'met', 'curs', 'particip', 'adqu', 'fortalezc', 'conjunt', 'concept', 'preliminar', 'inherent', 'gestion', 'desarrollo.', 'asim', 'curs', 'caract', 'introductori', 'program', 'format', 'denomin', '“efect', 'desarrollo”.', 'program', 'integr', 'total', 'cuatr', 'curs', 'fuertement', 'vincul', 'si.', 'curs', 'program', 'destin', 'dot', 'gestor', 'inici', 'desarroll', 'aptitud', 'experient', 'demostr', 'util', 'llev', 'buen', 'puert', 'proyect', 'servici', 'centr', 'logr', 'result', 'sustantivos.p', 'sab', 'curs', 'inscribirt', 'acced', 'siguient', 'enlace:', 'https://cursos.iadb.org/es/indes/el-desarrollo-y-su-gerencia-']",Español
44,ITEM-168001,"['com', 'escrib', 'blogs', 'tall', 'dar', 'paut', 'escrib', 'blogs', 'alto', 'impact']",Español
45,ITEM-168002,"['medicion', 'impact', 'mooc', 'difusion', 'product', 'conoc', 'banc', 'objet', 'bbl:-', 'nuev', 'medicion', 'inclu', 'inform', 'evaluacion:', '¿cuant', 'visit', 'aport', 'curs', 'public', 'blogs', 'plataform', 'bid?', 'explic', 'experient', 'pilot', 'mooc', 'año', '.-', 'herramient', 'realiz', 'nuev', 'mediciones:', 'utm', 'cod', 'tableau-', 'buen', 'practicas:', '¿qu', 'precaucion', 'tom', 'medir?', '¿qu', 'realment', 'necesari', 'medir?']",Ingles
46,ITEM-177001,"['mooc', 'partnerships', 'for', 'development', '(orp)', 'curs', 'alianz', 'estrateg', 'desarroll', 'analiz', 'contribu', 'alianz', 'estrateg', 'implement', 'program', 'public', 'relacion', 'desarroll', 'sosten', 'ofrec', 'marc', 'teoric', 'herramient', 'experient', 'practic', 'favorezc', 'efect', 'dich', 'implementacion.', 'trat', 'curs', 'desarroll', 'form', 'colabor', 'banc', 'interamerican', 'desarroll', 'sustain', 'development', 'solutions', 'network.', 'curs', 'va', 'dirig', 'public', 'ampli', 'especial', 'enfasis', 'funcionari', 'gobi', 'nacional', 'subnacional', 'amer', 'latina.', 'final', 'curs', 'esper', 'particip', 'puedan:', '.', 'reconoc', 'contribu', 'alianz', 'estrateg', 'desarroll', 'sosten', 'dentr', 'marc', 'objet', 'desarroll', 'sosten', 'nacion', 'unid', 'foc', 'implement', 'program', 'publicos;', '.', 'describ', 'principal', 'alianz', 'gobi', 'nacional', 'subnacional', 'pued', 'desarroll', 'implement', 'program', 'public', 'desarroll', 'sosten', 'compart', 'mejor', 'practic', 'leccion', 'aprend', 'divers', 'region', 'mundo;', '.', 'identific', 'herramient', 'metodolog', 'funcionari', 'public', 'pued', 'utiliz', 'impuls', 'diseñ', 'alianz', 'estrateg', 'efectivas.']",Español
47,ITEM-179001,"['iii', 'for', 'iberoamerican', 'alcald', 'for', 'recib', 'alcald', 'españ', 'amer', 'latin', 'carib', 'asi', 'reconoc', 'expert', 'internacional', 'objet', 'promov', 'dialog', 'desafi', 'coordin', 'distint', 'nivel', 'sector', 'public', 'sector', 'priv', 'academi', 'ciudadan', 'socied', 'civil', 'desarroll', 'local.']",Español
48,ITEM-179002,"['for', 'alcald', 'ndf', 'for', 'permitir', 'alcald', 'lac', 'conoc', 'buen', 'practic', 'ciudad', 'nordic', 'asi', 'visit', 'diferent', 'proyect', 'objet', 'ten', 'intercambi', 'mas', 'practico.']",Español
49,ITEM-179003,"['for', 'alcald', 'medellin', '-', 'curs', 'veran', 'for', 'permitir', 'alcald', 'lac', 'conoc', 'buen', 'practic', 'ciud', 'medellin', 'asi', 'particip', 'curs', 'veran', 'normal', 'realiz', 'espan', 'vez', 'local', 'medellin.']",Español
50,ITEM-180001,"['knl', 'and', 'exr', 'seri', 'tall', 'miembr', 'clusters', 'podran', 'aprend', 'form', 'divert', 'dinam', 'hac', 'coleg', 'conoc', 'innov', 'comunicacion.objetivo:-', 'mostr', 'diferent', 'program', 'inici', 'manej', 'departament', 'sab', 'quien', 'carg', 'estos-', 'conoc', 'interactu', 'coleg', 'foment', 'pertenent', 'mism', 'equip']",Español
51,ITEM-185007,"['ndc', 'invest', 'haci', 'tall', 'objet', 'revis', 'plan', 'accion', 'ndc', 'invest']",Ingles
52,ITEM-185012,"['mejor', 'implement', 'program', 'public', 'particip', 'curs', 'complet', 'dos', 'pasos:.', 'registrart', 'sesion/', 'fech', 'interes', 'ingres', '""', 'view', 'cours', 'date"".', 'complet', 'pas', 'anterior', 'recib', 'corre', 'notif', 'indic', 'segu', 'complet', 'matricul', 'exito.p', 'conoc', 'detall', 'curs', 'puls', 'nombr', 'curs', 'visit', 'pestañ', 'overview.']",Español
53,ITEM-185013,"['gestion', 'proyect', 'desarroll', 'curs', 'present', 'concept', 'herramient', 'pued', 'ser', 'aplic', 'gestion', 'proyect', 'pued', 'gener', 'cambi', 'sustancial', 'alcanz', 'objet', 'propuestos.l', 'bas', 'conceptual', 'curs', 'metodolog', 'pmr', '(project', 'management', 'for', 'results)', 'desarroll', 'institut', 'interamerican', 'desarroll', 'econom', 'social', '(indes)', 'bid', 'cuy', 'conten', 'bas', 'project', 'management', 'institut', 'guid', 'to', 'the', 'project', 'management', 'body', 'of', 'knowledg', '(pmbok®', 'guide)-', 'sixth', 'edition', 'project', 'management', 'institut', 'inc.', '.', '\\aprenderas:•concept', 'tecnic', 'basic', 'gestion', 'proyectos•herramient', 'tactic', 'clav', 'facilit', 'buen', 'comunicacion•estandar', 'internacional', 'herramient', 'gestion', 'proyectos•com', 'identific', 'factor', 'exit', 'bas', 'experient']",Español
54,ITEM-185018,"['desarroll', 'gerenci', 'particip', 'curs', 'complet', 'dos', 'pasos:.', 'registrart', 'sesion/', 'fech', 'interes', 'ingres', '""', 'view', 'cours', 'date"".', 'complet', 'pas', 'anterior', 'recib', 'corre', 'notif', 'indic', 'segu', 'complet', 'matricul', 'exito.p', 'conoc', 'detall', 'curs', 'puls', 'nombr', 'curs', 'visit', 'pestañ', 'overview.']",Español
55,ITEM-185019,"['formul', 'proyect', 'desarrollo:', 'matriz', 'result']",Español
56,ITEM-185020,"['asoci', 'publico-privadas:', 'mooc', 'asoci', 'public', 'priv', '(apps)', 'convert', 'instrument', 'esencial', 'crecimient', 'product', 'econom', 'social', 'pais', 'amer', 'latin', 'caribe.', 'desarroll', 'implement', 'apps', 'observ', 'restriccion', 'capac', 'tecnic', 'respons', 'particular', 'sector', 'publico.p', 'cubr', 'vaci', 'idbx', 'desarroll', 'curs', 'prim', 'mooc', 'dispon', 'español', 'aprend', 'plan', 'diseñ', 'implement', 'apps', 'proyect', 'desarroll', 'amer', 'latin', 'caribe.']",Español
57,ITEM-185021,"['spoc', 'asoci', 'publico-privadas:', 'peru', 'experient', 'mundial', 'app', 'luc', 'sombr', 'sugir', 'val', 'pen', 'tom', 'distanci', 'ponder', 'aprend', 'respond', 'pregunt', 'fundamentales:', '¿baj', 'condicion', 'prefer', 'concesion', 'provision', 'public', 'tradicional', 'privatizacion?', 'gobiern', 'elig', 'concesion', '¿com', 'deb', 'diseñ', 'contrat', 'concesion', 'cual', 'deb', 'ser', 'marc', 'institucional', 'concesiones?est', 'pregunt', 'abord', 'curso.', 'respond', 'aplic', 'conoc', 'econom', 'divers', 'inclu', 'decision', 'baj', 'incertidumbr', 'finanz', 'public', 'teor', 'contrat', 'teor', 'licit', 'teor', 'agenci', 'econom', 'politica.', 'estudi', 'experient', 'concret', 'concesion', 'enfasis', 'particul', 'cas', 'amer', 'latina.']",Español
58,ITEM-185022,"['bbl', '-', 'uso', 'project', 'management', 'offic', '(pmo)', 'ejecu', 'proyect', 'complej', 'manuel', 'zevall', 'explic', 'definicion', 'project', 'managment', 'offic', 'segun', 'project', 'management', 'institut', 'funcional', 'benefici', 'tip', 'pmo', 'sector', 'public', 'privado.']",Español
59,ITEM-185023,"['champion', 'innov', 'tall', 'equip', 'pais', 'dinam', 'integr', 'equip', 'alto', 'desempeñ', 'alin', 'objet', 'compromis', 'propuest', 'accion.', 'impart', 'platic', 'innov', 'expert', 'startup', 'motiv', 'equip', 'temas.']",Español
60,ITEM-185024,"['bbl', '-', 'indic', 'desempeñ', 'adquisicion', 'solucion', 'bi', 'mitig', 'problem', 'ejecu', 'bbl', 'gabriel', 'mostr', 'result', 'estadist', 'adquisicion', 'cpe', 'evalu', 'opcion', 'mitig', 'problem', 'ejecu']",Español
61,ITEM-185026,"['habl', 'protest', '#', 'experient', 'leccion', 'aprend', 'tratamient', 'protest']",Español
